GPS Dump generated by lap tracker, see: github.com/edward-dunton/lap-tracker

12:07:28.70>	LAT:52.80354691		LONG:-1.10804272	MPH:0.25	M/S^2:+0.514	M/S^2 Lat:0.087
12:07:28.80>	LAT:52.80355072		LONG:-1.10804462	MPH:0.25	M/S^2:0.000	M/S^2 Lat:0.000
12:07:28.90>	LAT:52.80355453		LONG:-1.10804582	MPH:0.12	M/S^2:-0.617	M/S^2 Lat:0.099
12:07:29.00>	LAT:52.80355835		LONG:-1.10804677	MPH:0.17	M/S^2:+0.257	M/S^2 Lat:0.015
12:07:29.10>	LAT:52.80356216		LONG:-1.10804904	MPH:0.12	M/S^2:-0.257	M/S^2 Lat:0.074
12:07:29.20>	LAT:52.80356216		LONG:-1.10804999	MPH:0.14	M/S^2:+0.103	M/S^2 Lat:0.088
12:07:29.30>	LAT:52.80356598		LONG:-1.10805213	MPH:0.08	M/S^2:-0.257	M/S^2 Lat:0.224
12:07:29.40>	LAT:52.80356979		LONG:-1.10805345	MPH:0.25	M/S^2:+0.772	M/S^2 Lat:0.139
12:07:29.50>	LAT:52.80357361		LONG:-1.10805595	MPH:0.07	M/S^2:-0.823	M/S^2 Lat:0.203
12:07:29.60>	LAT:52.80357361		LONG:-1.10805738	MPH:0.17	M/S^2:+0.463	M/S^2 Lat:0.387
12:07:29.70>	LAT:52.80357742		LONG:-1.10805929	MPH:0.06	M/S^2:-0.514	M/S^2 Lat:0.460
12:07:29.80>	LAT:52.80358124		LONG:-1.10806155	MPH:0.02	M/S^2:-0.154	M/S^2 Lat:0.011
12:07:29.90>	LAT:52.80358505		LONG:-1.10806322	MPH:0.01	M/S^2:-0.051	M/S^2 Lat:0.006
12:07:30.00>	LAT:52.80358887		LONG:-1.10806513	MPH:0.02	M/S^2:+0.051	M/S^2 Lat:0.003
12:07:30.10>	LAT:52.80359268		LONG:-1.10806787	MPH:0.14	M/S^2:+0.514	M/S^2 Lat:0.082
12:07:30.20>	LAT:52.80360031		LONG:-1.10807097	MPH:0.07	M/S^2:-0.309	M/S^2 Lat:0.073
12:07:30.30>	LAT:52.80360413		LONG:-1.10807371	MPH:0.05	M/S^2:-0.103	M/S^2 Lat:0.024
12:07:30.40>	LAT:52.80360794		LONG:-1.10807550	MPH:0.12	M/S^2:+0.309	M/S^2 Lat:0.057
12:07:30.50>	LAT:52.80360794		LONG:-1.10807598	MPH:0.14	M/S^2:+0.103	M/S^2 Lat:0.093
12:07:30.60>	LAT:52.80361176		LONG:-1.10807645	MPH:0.26	M/S^2:+0.566	M/S^2 Lat:0.562
12:07:30.70>	LAT:52.80361176		LONG:-1.10807705	MPH:0.13	M/S^2:-0.617	M/S^2 Lat:0.613
12:07:30.80>	LAT:52.80361557		LONG:-1.10807788	MPH:0.13	M/S^2:0.000	M/S^2 Lat:0.000
12:07:30.90>	LAT:52.80361557		LONG:-1.10807812	MPH:0.37	M/S^2:+1.080	M/S^2 Lat:1.055
12:07:31.00>	LAT:52.80361557		LONG:-1.10807848	MPH:0.26	M/S^2:-0.463	M/S^2 Lat:0.000
12:07:31.10>	LAT:52.80361938		LONG:-1.10807920	MPH:0.30	M/S^2:+0.154	M/S^2 Lat:0.152
12:07:31.20>	LAT:52.80361938		LONG:-1.10807979	MPH:0.32	M/S^2:+0.103	M/S^2 Lat:0.101
12:07:31.30>	LAT:52.80362320		LONG:-1.10808039	MPH:0.47	M/S^2:+0.669	M/S^2 Lat:0.661
12:07:31.40>	LAT:52.80362320		LONG:-1.10808098	MPH:0.67	M/S^2:+0.875	M/S^2 Lat:0.864
12:07:31.50>	LAT:52.80362701		LONG:-1.10808134	MPH:0.53	M/S^2:-0.617	M/S^2 Lat:0.615
12:07:31.60>	LAT:52.80362701		LONG:-1.10808229	MPH:0.48	M/S^2:-0.206	M/S^2 Lat:0.205
12:07:31.70>	LAT:52.80363083		LONG:-1.10808372	MPH:0.53	M/S^2:+0.206	M/S^2 Lat:0.193
12:07:31.80>	LAT:52.80363083		LONG:-1.10808468	MPH:0.45	M/S^2:-0.360	M/S^2 Lat:0.337
12:07:31.90>	LAT:52.80363083		LONG:-1.10808480	MPH:0.48	M/S^2:+0.154	M/S^2 Lat:0.000
12:07:32.00>	LAT:52.80363083		LONG:-1.10808420	MPH:0.40	M/S^2:-0.360	M/S^2 Lat:0.000
12:07:32.10>	LAT:52.80363464		LONG:-1.10808468	MPH:0.54	M/S^2:+0.617	M/S^2 Lat:0.613
12:07:32.20>	LAT:52.80363846		LONG:-1.10808599	MPH:0.41	M/S^2:-0.566	M/S^2 Lat:0.116
12:07:32.30>	LAT:52.80363846		LONG:-1.10808754	MPH:0.13	M/S^2:-1.286	M/S^2 Lat:1.216
12:07:32.40>	LAT:52.80364227		LONG:-1.10808945	MPH:0.17	M/S^2:+0.206	M/S^2 Lat:0.184
12:07:32.50>	LAT:52.80364609		LONG:-1.10809100	MPH:0.36	M/S^2:+0.823	M/S^2 Lat:0.064
12:07:32.60>	LAT:52.80364990		LONG:-1.10809255	MPH:0.39	M/S^2:+0.154	M/S^2 Lat:0.000
12:07:32.70>	LAT:52.80365372		LONG:-1.10809433	MPH:0.31	M/S^2:-0.360	M/S^2 Lat:0.019
12:07:32.80>	LAT:52.80365753		LONG:-1.10809588	MPH:0.24	M/S^2:-0.309	M/S^2 Lat:0.016
12:07:32.90>	LAT:52.80366135		LONG:-1.10809720	MPH:0.20	M/S^2:-0.206	M/S^2 Lat:0.011
12:07:33.00>	LAT:52.80366135		LONG:-1.10809755	MPH:0.16	M/S^2:-0.154	M/S^2 Lat:0.146
12:07:33.10>	LAT:52.80366516		LONG:-1.10809934	MPH:0.37	M/S^2:+0.926	M/S^2 Lat:0.838
12:07:33.20>	LAT:52.80366898		LONG:-1.10810101	MPH:0.38	M/S^2:+0.051	M/S^2 Lat:0.001
12:07:33.30>	LAT:52.80367279		LONG:-1.10810244	MPH:0.32	M/S^2:-0.257	M/S^2 Lat:0.014
12:07:33.40>	LAT:52.80367661		LONG:-1.10810387	MPH:0.23	M/S^2:-0.412	M/S^2 Lat:0.000
12:07:33.50>	LAT:52.80368042		LONG:-1.10810578	MPH:0.47	M/S^2:+1.080	M/S^2 Lat:0.113
12:07:33.60>	LAT:52.80368042		LONG:-1.10810661	MPH:0.38	M/S^2:-0.412	M/S^2 Lat:0.368
12:07:33.70>	LAT:52.80368042		LONG:-1.10810685	MPH:0.32	M/S^2:-0.257	M/S^2 Lat:0.000
12:07:33.80>	LAT:52.80368042		LONG:-1.10810733	MPH:0.24	M/S^2:-0.360	M/S^2 Lat:0.000
12:07:33.90>	LAT:52.80368042		LONG:-1.10810721	MPH:0.13	M/S^2:-0.514	M/S^2 Lat:0.000
12:07:34.00>	LAT:52.80368042		LONG:-1.10810614	MPH:0.17	M/S^2:+0.206	M/S^2 Lat:0.000
12:07:34.10>	LAT:52.80368042		LONG:-1.10810530	MPH:0.18	M/S^2:+0.051	M/S^2 Lat:0.000
12:07:34.20>	LAT:52.80367661		LONG:-1.10810399	MPH:0.21	M/S^2:+0.103	M/S^2 Lat:0.097
12:07:34.30>	LAT:52.80367661		LONG:-1.10810399	MPH:0.14	M/S^2:-0.309	M/S^2 Lat:0.000
12:07:34.40>	LAT:52.80367661		LONG:-1.10810423	MPH:0.13	M/S^2:-0.051	M/S^2 Lat:0.000
12:07:34.50>	LAT:52.80367661		LONG:-1.10810363	MPH:0.21	M/S^2:+0.360	M/S^2 Lat:0.000
12:07:34.60>	LAT:52.80367661		LONG:-1.10810351	MPH:0.23	M/S^2:+0.103	M/S^2 Lat:0.000
12:07:34.70>	LAT:52.80367661		LONG:-1.10810316	MPH:0.25	M/S^2:+0.103	M/S^2 Lat:0.000
12:07:34.80>	LAT:52.80367661		LONG:-1.10810280	MPH:0.21	M/S^2:-0.206	M/S^2 Lat:0.000
12:07:34.90>	LAT:52.80367661		LONG:-1.10810232	MPH:0.06	M/S^2:-0.669	M/S^2 Lat:0.000
12:07:35.00>	LAT:52.80367279		LONG:-1.10810184	MPH:0.16	M/S^2:+0.463	M/S^2 Lat:0.459
12:07:35.10>	LAT:52.80367279		LONG:-1.10810184	MPH:0.15	M/S^2:-0.051	M/S^2 Lat:0.000
12:07:35.20>	LAT:52.80367661		LONG:-1.10810196	MPH:0.06	M/S^2:-0.412	M/S^2 Lat:0.000
12:07:35.30>	LAT:52.80367661		LONG:-1.10810113	MPH:0.10	M/S^2:+0.206	M/S^2 Lat:0.206
12:07:35.40>	LAT:52.80367661		LONG:-1.10810137	MPH:0.13	M/S^2:+0.103	M/S^2 Lat:0.000
12:07:35.50>	LAT:52.80367661		LONG:-1.10810220	MPH:0.09	M/S^2:-0.154	M/S^2 Lat:0.000
12:07:35.60>	LAT:52.80367661		LONG:-1.10810280	MPH:0.21	M/S^2:+0.514	M/S^2 Lat:0.000
12:07:35.70>	LAT:52.80367661		LONG:-1.10810363	MPH:0.20	M/S^2:-0.051	M/S^2 Lat:0.000
12:07:35.80>	LAT:52.80368042		LONG:-1.10810423	MPH:0.31	M/S^2:+0.514	M/S^2 Lat:0.508
12:07:35.90>	LAT:52.80368042		LONG:-1.10810483	MPH:0.29	M/S^2:-0.103	M/S^2 Lat:0.102
12:07:36.00>	LAT:52.80368042		LONG:-1.10810518	MPH:0.25	M/S^2:-0.154	M/S^2 Lat:0.000
12:07:36.10>	LAT:52.80368042		LONG:-1.10810530	MPH:0.16	M/S^2:-0.412	M/S^2 Lat:0.000
12:07:36.20>	LAT:52.80368042		LONG:-1.10810554	MPH:0.20	M/S^2:+0.154	M/S^2 Lat:0.000
12:07:36.30>	LAT:52.80368042		LONG:-1.10810566	MPH:0.09	M/S^2:-0.463	M/S^2 Lat:0.000
12:07:36.40>	LAT:52.80368042		LONG:-1.10810530	MPH:0.12	M/S^2:+0.103	M/S^2 Lat:0.000
12:07:36.50>	LAT:52.80368042		LONG:-1.10810494	MPH:0.03	M/S^2:-0.360	M/S^2 Lat:0.000
12:07:36.60>	LAT:52.80368042		LONG:-1.10810483	MPH:0.20	M/S^2:+0.720	M/S^2 Lat:0.000
12:07:36.70>	LAT:52.80368042		LONG:-1.10810494	MPH:0.08	M/S^2:-0.514	M/S^2 Lat:0.000
12:07:36.80>	LAT:52.80368042		LONG:-1.10810494	MPH:0.01	M/S^2:-0.309	M/S^2 Lat:0.000
12:07:36.90>	LAT:52.80368042		LONG:-1.10810494	MPH:0.05	M/S^2:+0.154	M/S^2 Lat:0.000
12:07:37.00>	LAT:52.80368042		LONG:-1.10810530	MPH:0.03	M/S^2:-0.051	M/S^2 Lat:0.000
12:07:37.10>	LAT:52.80368042		LONG:-1.10810554	MPH:0.20	M/S^2:+0.720	M/S^2 Lat:0.000
12:07:37.20>	LAT:52.80368042		LONG:-1.10810530	MPH:0.22	M/S^2:+0.103	M/S^2 Lat:0.000
12:07:37.30>	LAT:52.80368042		LONG:-1.10810518	MPH:0.01	M/S^2:-0.926	M/S^2 Lat:0.000
12:07:37.40>	LAT:52.80368042		LONG:-1.10810483	MPH:0.18	M/S^2:+0.772	M/S^2 Lat:0.000
12:07:37.50>	LAT:52.80368042		LONG:-1.10810471	MPH:0.07	M/S^2:-0.514	M/S^2 Lat:0.000
12:07:37.60>	LAT:52.80368042		LONG:-1.10810423	MPH:0.03	M/S^2:-0.154	M/S^2 Lat:0.000
12:07:37.70>	LAT:52.80368042		LONG:-1.10810399	MPH:0.05	M/S^2:+0.051	M/S^2 Lat:0.000
12:07:37.80>	LAT:52.80368042		LONG:-1.10810351	MPH:0.20	M/S^2:+0.669	M/S^2 Lat:0.000
12:07:37.90>	LAT:52.80368042		LONG:-1.10810363	MPH:0.10	M/S^2:-0.412	M/S^2 Lat:0.000
12:07:38.00>	LAT:52.80368042		LONG:-1.10810363	MPH:0.06	M/S^2:-0.206	M/S^2 Lat:0.000
12:07:38.10>	LAT:52.80368042		LONG:-1.10810351	MPH:0.06	M/S^2:0.000	M/S^2 Lat:0.000
12:07:38.20>	LAT:52.80368042		LONG:-1.10810387	MPH:0.10	M/S^2:+0.206	M/S^2 Lat:0.000
12:07:38.30>	LAT:52.80368042		LONG:-1.10810435	MPH:0.09	M/S^2:-0.051	M/S^2 Lat:0.000
12:07:38.40>	LAT:52.80368042		LONG:-1.10810471	MPH:0.16	M/S^2:+0.309	M/S^2 Lat:0.000
12:07:38.50>	LAT:52.80368042		LONG:-1.10810494	MPH:0.09	M/S^2:-0.309	M/S^2 Lat:0.000
12:07:38.60>	LAT:52.80368423		LONG:-1.10810530	MPH:0.12	M/S^2:+0.103	M/S^2 Lat:0.102
12:07:38.70>	LAT:52.80368423		LONG:-1.10810554	MPH:0.07	M/S^2:-0.206	M/S^2 Lat:0.205
12:07:38.80>	LAT:52.80368423		LONG:-1.10810530	MPH:0.16	M/S^2:+0.412	M/S^2 Lat:0.000
12:07:38.90>	LAT:52.80368423		LONG:-1.10810554	MPH:0.06	M/S^2:-0.463	M/S^2 Lat:0.000
12:07:39.00>	LAT:52.80368423		LONG:-1.10810554	MPH:0.10	M/S^2:+0.206	M/S^2 Lat:0.000
12:07:39.10>	LAT:52.80368423		LONG:-1.10810554	MPH:0.17	M/S^2:+0.309	M/S^2 Lat:0.000
12:07:39.20>	LAT:52.80368423		LONG:-1.10810554	MPH:0.02	M/S^2:-0.669	M/S^2 Lat:0.000
12:07:39.30>	LAT:52.80368423		LONG:-1.10810554	MPH:0.12	M/S^2:+0.412	M/S^2 Lat:0.000
12:07:39.40>	LAT:52.80368423		LONG:-1.10810494	MPH:0.09	M/S^2:-0.103	M/S^2 Lat:0.000
12:07:39.50>	LAT:52.80368423		LONG:-1.10810483	MPH:0.06	M/S^2:-0.154	M/S^2 Lat:0.000
12:07:39.60>	LAT:52.80368423		LONG:-1.10810530	MPH:0.02	M/S^2:-0.154	M/S^2 Lat:0.000
12:07:39.70>	LAT:52.80368423		LONG:-1.10810566	MPH:0.09	M/S^2:+0.309	M/S^2 Lat:0.000
12:07:39.80>	LAT:52.80368423		LONG:-1.10810578	MPH:0.10	M/S^2:+0.051	M/S^2 Lat:0.000
12:07:39.90>	LAT:52.80368423		LONG:-1.10810614	MPH:0.06	M/S^2:-0.206	M/S^2 Lat:0.000
12:07:40.00>	LAT:52.80368423		LONG:-1.10810685	MPH:0.12	M/S^2:+0.257	M/S^2 Lat:0.000
12:07:40.10>	LAT:52.80368423		LONG:-1.10810733	MPH:0.07	M/S^2:-0.206	M/S^2 Lat:0.000
12:07:40.20>	LAT:52.80368423		LONG:-1.10810781	MPH:0.10	M/S^2:+0.154	M/S^2 Lat:0.000
12:07:40.30>	LAT:52.80368805		LONG:-1.10810888	MPH:0.17	M/S^2:+0.309	M/S^2 Lat:0.297
12:07:40.40>	LAT:52.80368805		LONG:-1.10810912	MPH:0.06	M/S^2:-0.514	M/S^2 Lat:0.495
12:07:40.50>	LAT:52.80368805		LONG:-1.10810995	MPH:0.02	M/S^2:-0.154	M/S^2 Lat:0.000
12:07:40.60>	LAT:52.80368805		LONG:-1.10811055	MPH:0.06	M/S^2:+0.154	M/S^2 Lat:0.000
12:07:40.70>	LAT:52.80368805		LONG:-1.10811102	MPH:0.12	M/S^2:+0.257	M/S^2 Lat:0.000
12:07:40.80>	LAT:52.80368805		LONG:-1.10811138	MPH:0.07	M/S^2:-0.206	M/S^2 Lat:0.000
12:07:40.90>	LAT:52.80368805		LONG:-1.10811186	MPH:0.08	M/S^2:+0.051	M/S^2 Lat:0.000
12:07:41.00>	LAT:52.80368805		LONG:-1.10811245	MPH:0.03	M/S^2:-0.206	M/S^2 Lat:0.000
12:07:41.10>	LAT:52.80368805		LONG:-1.10811281	MPH:0.10	M/S^2:+0.309	M/S^2 Lat:0.000
12:07:41.20>	LAT:52.80368805		LONG:-1.10811317	MPH:0.03	M/S^2:-0.309	M/S^2 Lat:0.000
12:07:41.30>	LAT:52.80368805		LONG:-1.10811329	MPH:0.09	M/S^2:+0.257	M/S^2 Lat:0.000
12:07:41.40>	LAT:52.80368805		LONG:-1.10811365	MPH:0.14	M/S^2:+0.206	M/S^2 Lat:0.000
